FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
63628.js,0.503326665,0.467501786,0.537116062,0.616199162,,,
63674.js,0.684653197,0.487227196,0.484248994,0.688390031,,,
6370.js,0.40430377,0.386164223,0.813489217,0.76742138,,,
63757.js,0.459149877,0.430695204,0.520921898,0.604205038,,,
63819.js,1,0.433012702,0.433012702,1,,,
64206.js,1,0.326705131,-1,1,,,
6422.js,0.411919805,0.337649713,0.521723721,0.749658792,,,
64731.js,0.443290593,0.399917381,0.367607311,0.759554525,,,
6476.js,0.611654055,0.522920497,0.595966715,0.750578854,,,
65036.js,0.531021683,0.405823035,0.458063551,0.631752921,,,
65052.js,0.550927952,0.438117854,0.469753174,0.653789208,,,
65219.js,0.57049487,0.467863664,0.571086096,0.743211371,,,
65267.js,0.417028828,0.374087812,0.475953765,0.570323432,,,
65321.js,0.431593894,0.394795412,0.488724645,0.552721287,,,
65459.js,0.525259983,0.496933303,0.600887496,0.649879663,,,
65727.js,0.799305293,0.46708502,0.477969475,0.845845447,,,
6586.js,0.637345551,0.545740217,0.566111133,0.672202455,,,
66106.js,0.763744585,0.633622717,0.660503221,0.811385968,,,
66225.js,0.627382785,0.555434265,0.581789728,0.671591142,,,
66323.js,0.711789946,0.611347614,0.643807556,0.765691762,,,
66363.js,0.61497046,0.5269325,0.573565713,0.703183203,,,
66365.js,0.635534986,0.432735308,0.443765912,0.661612633,,,
66377.js,0.505847873,0.486213079,0.626507843,0.643028775,,,
66394.js,0.490557853,0.442129759,0.542924895,0.606315638,,,
66399.js,0.663480687,0.415356161,0.441720929,0.786734602,,,
66502.js,0.583809967,0.426563596,0.435187128,0.602434857,,,
66877.js,0.188982237,0.15089291,0.516397779,0.721687836,,,
66945.js,0.2057378,0.191455509,0.647150229,0.703526471,,,
67353.js,0.296283855,0.274906437,0.572656287,0.572656287,,,
67476.js,0.390034225,0.368935442,0.689429112,0.60782444,,,
67544.js,0.376002964,0.354950873,0.523811501,0.609218565,,,
67717.js,0.337460346,0.324635906,0.591736407,0.568057282,,,
