improve,nice,recover_nice,name,,,
-1,-1,-1,7002.js,,,
-1,-1,-1,70040.js,,,
-1,-1,-1,70143.js,,,
0,0,0,70353.js,,,
0,0,0,70364.js,,,
-1,-1,-1,70436.js,,,
-1,-1,-1,70645.js,,,
0,0,0,70748.js,,,
0,0,0,70775.js,,,
-1,-1,-1,70800.js,,,
0,0,0,70848.js,,,
-1,-1,-1,7092.js,,,
-1,-1,-1,7096.js,,,
0,0,0,71032.js,,,
0,0,0,71077.js,,,
-1,-1,-1,71214.js,,,
0,0,0,7167.js,,,
0,0.046511628,0.049382716,71688.js,,,
0,0.017621145,0.017777778,71716.js,,,
0,0,0,71738.js,,,
0,0,0,71744.js,,,
0,0,0,71750.js,,,
-1,-1,-1,71963.js,,,
0,0,0,72068.js,,,
-1,-1,-1,72075.js,,,
0,0.015384615,0.016129032,72259.js,,,
0,0.067114094,0.068027211,72273.js,,,
0,0.014705882,0.015384615,72470.js,,,
0,0.017241379,0.018518519,72581.js,,,
-1,-1,-1,72663.js,,,
0,0,0,72777.js,,,
-1,-1,-1,72873.js,,,
-1,-1,-1,73020.js,,,
0,0.038461538,0.05,73103.js,,,
0,0,0,73109.js,,,
0,0,0,73132.js,,,
0,0,0,73187.js,,,
0,0,0,73243.js,,,
0,0,0,73244.js,,,
0,0,0,7325.js,,,
0,0,0,73300.js,,,
-1,-1,-1,73351.js,,,
-1,-1,-1,73402.js,,,
0,0.079866889,0.080536913,73432.js,,,
0,0,0,73442.js,,,
-1,-1,-1,73458.js,,,
-1,-1,-1,73592.js,,,
-1,-1,-1,73803.js,,,
-1,-1,-1,73809.js,,,
-1,-1,-1,73836.js,,,
-1,-1,-1,73964.js,,,
-1,-1,-1,74224.js,,,
-1,-1,-1,74229.js,,,
-1,-1,-1,74239.js,,,
-1,-1,-1,74289.js,,,
-1,-1,-1,74293.js,,,
-1,-1,-1,74771.js,,,
-1,-1,-1,7487.js,,,
-1,-1,-1,74944.js,,,
-1,-1,-1,7496.js,,,
-1,-1,-1,74971.js,,,
-1,-1,-1,74995.js,,,
-1,-1,-1,75102.js,,,
-1,-1,-1,75105.js,,,
-1,-1,-1,75299.js,,,
-1,-1,-1,75611.js,,,
-1,-1,-1,75651.js,,,
-1,-1,-1,75749.js,,,
-1,-1,-1,75809.js,,,
-1,-1,-1,75852.js,,,
-1,-1,-1,7605.js,,,
-1,-1,-1,76140.js,,,
-1,-1,-1,76186.js,,,
-1,-1,-1,76256.js,,,
-1,-1,-1,76359.js,,,
-1,-1,-1,7636.js,,,
-1,-1,-1,76371.js,,,
-1,-1,-1,76432.js,,,
-1,-1,-1,76534.js,,,
-1,-1,-1,76647.js,,,
-1,-1,-1,76686.js,,,
-1,-1,-1,76762.js,,,
-1,-1,-1,76775.js,,,
-1,-1,-1,76806.js,,,
-1,-1,-1,76895.js,,,
-1,-1,-1,77301.js,,,
0,0,0,7745.js,,,
0,0.048275862,0.043165468,7775.js,,,
0,0.047619048,0,78018.js,,,
0,0.045454545,0,78361.js,,,
0,0.045454545,0,78393.js,,,
0,0.045454545,0,78604.js,,,
0,0.045454545,0,78626.js,,,
0,0.047619048,0,78937.js,,,
0,0.047619048,0,79119.js,,,
0,0.045454545,0,79406.js,,,
0,0.045454545,0,79496.js,,,
-1,-1,-1,79573.js,,,
-1,-1,-1,79644.js,,,
0,0.028985507,0.03125,79783.js,,,
0,0.078125,0.081967213,79806.js,,,
0,0.041666667,0.0625,79827.js,,,
0,0,0,80041.js,,,
0,0.090487239,0.090627421,80045.js,,,
0,0.055555556,0.05625,80055.js,,,
0,0,0,80121.js,,,
-1,-1,-1,80142.js,,,
-1,-1,-1,80144.js,,,
-1,-1,-1,80212.js,,,
-1,-1,-1,80227.js,,,
-1,-1,-1,80246.js,,,
-1,-1,-1,80280.js,,,
-1,-1,-1,80349.js,,,
-1,-1,-1,80408.js,,,
-1,-1,-1,80522.js,,,
-1,-1,-1,80657.js,,,
0,0,0,80761.js,,,
0,0.051020408,0.054347826,80781.js,,,
-1,-1,-1,80976.js,,,
0,0.015625,0.016393443,81381.js,,,
0,0,0,81439.js,,,
0,0.012195122,0.012658228,81583.js,,,
0,0,0,81680.js,,,
-1,-1,-1,81791.js,,,
0,0,0,8184.js,,,
-1,-1,-1,81895.js,,,
-1,-1,-1,81923.js,,,
-1,-1,-1,81975.js,,,
-1,-1,-1,82065.js,,,
0,0,0,82079.js,,,
0,0.021276596,0.023809524,82121.js,,,
-1,-1,-1,82246.js,,,
0,0.013157895,0.01369863,82363.js,,,
0,0.01754386,0.019230769,82510.js,,,
0,0.03125,0.03164557,82835.js,,,
0,0.024390244,0.029411765,82848.js,,,
0,0.041666667,0.05,82951.js,,,
0,0.028169014,0.029411765,83022.js,,,
0,0,0,83042.js,,,
0,0,0,83083.js,,,
0,0.057017544,0.057268722,83096.js,,,
0,0.166666667,0.136363636,83154.js,,,
0,0.166666667,0.176470588,83287.js,,,
0,0.046875,0.052631579,83488.js,,,
0,0.107142857,0.115384615,83510.js,,,
0,0.096774194,0.071428571,83582.js,,,
0,0.042857143,0.047619048,83628.js,,,
0,0.032258065,0.035714286,83803.js,,,
0,0,0,83881.js,,,
0,0.066974596,0.067285383,83941.js,,,
0,0,0,83992.js,,,
0,0,0,84008.js,,,
0,0.05,0,84075.js,,,
-1,-1,-1,8420.js,,,
0,0,0,84203.js,,,
0,0,0,8424.js,,,
0,0.049180328,0.05,84248.js,,,
0,0,0,84337.js,,,
0,0,0,84365.js,,,
-1,-1,-1,84574.js,,,
-1,-1,-1,84607.js,,,
-1,-1,-1,84732.js,,,
-1,-1,-1,84770.js,,,
0,0,0,84901.js,,,
0,0,0,84950.js,,,
-1,-1,-1,84966.js,,,
